"Notes","Disease","Disease Code","Year","Year Code","Race/Ethnicity","Race/Ethnicity Code","Sex","Sex Code","Age","Age Code",STD Cases,Population,Rate
,"Chlamydia","274","1997","1997","Hispanic","Hispanic","Male","M","15-19 years","15-19",3103,1457132,212.95
,"Chlamydia","274","1997","1997","Hispanic","Hispanic","Male","M","20-24 years","20-24",4084,1529088,267.09
,"Chlamydia","274","1997","1997","Hispanic","Hispanic","Male","M","25-29 years","25-29",2043,1587132,128.72
,"Chlamydia","274","1997","1997","Hispanic","Hispanic","Male","M","30-34 years","30-34",951,1505314,63.18
,"Chlamydia","274","1997","1997","Hispanic","Hispanic","Male","M","35-39 years","35-39",467,1255337,37.20
,"Chlamydia","274","1997","1997","Hispanic","Hispanic","Male","M","40+ years","40+",364,3534542,10.30
,"Chlamydia","274","1997","1997","Hispanic","Hispanic","Male","M","Unknown","99",428,Not Applicable,Not Applicable
,"Chlamydia","274","1997","1997","Hispanic","Hispanic","Unknown","U","15-19 years","15-19",1,Not Applicable,Not Applicable
,"Chlamydia","274","1997","1997","Hispanic","Hispanic","Unknown","U","20-24 years","20-24",6,Not Applicable,Not Applicable
,"Chlamydia","274","1997","1997","Hispanic","Hispanic","Unknown","U","30-34 years","30-34",1,Not Applicable,Not Applicable
,"Chlamydia","274","1997","1997","White","2106-3","Female","F","0-14 years","0-14",2485,17521926,14.18
,"Chlamydia","274","1997","1997","White","2106-3","Female","F","15-19 years","15-19",42986,5929587,724.94
,"Chlamydia","274","1997","1997","White","2106-3","Female","F","20-24 years","20-24",30534,5424343,562.91
,"Chlamydia","274","1997","1997","White","2106-3","Female","F","25-29 years","25-29",9870,6286278,157.01
,"Chlamydia","274","1997","1997","White","2106-3","Female","F","30-34 years","30-34",3457,6991519,49.45
,"Chlamydia","274","1997","1997","White","2106-3","Female","F","35-39 years","35-39",1612,7872371,20.48
,"Chlamydia","274","1997","1997","White","2106-3","Female","F","40+ years","40+",1254,45432762,2.76
,"Chlamydia","274","1997","1997","White","2106-3","Female","F","Unknown","99",1059,Not Applicable,Not Applicable
,"Chlamydia","274","1997","1997","White","2106-3","Male","M","0-14 years","0-14",156,18501807,0.84
,"Chlamydia","274","1997","1997","White","2106-3","Male","M","15-19 years","15-19",3869,6241214,61.99
,"Chlamydia","274","1997","1997","White","2106-3","Male","M","20-24 years","20-24",5956,5584430,106.65
,"Chlamydia","274","1997","1997","White","2106-3","Male","M","25-29 years","25-29",2742,6354134,43.15
,"Chlamydia","274","1997","1997","White","2106-3","Male","M","30-34 years","30-34",1267,7087026,17.88
,"Chlamydia","274","1997","1997","White","2106-3","Male","M","35-39 years","35-39",703,7922243,8.87
,"Chlamydia","274","1997","1997","White","2106-3","Male","M","40+ years","40+",707,39667463,1.78
,"Chlamydia","274","1997","1997","White","2106-3","Male","M","Unknown","99",233,Not Applicable,Not Applicable
